"level","n_packets","time_elapsed"
0,1,99.21392488479614"level","n_packets","time_elapsed"
2,100,100.21669578552246"level","n_packets","time_elapsed"
0,1,41.865647315979004"level","n_packets","time_elapsed"
0,1,99.3724012374878"level","n_packets","time_elapsed"
0,1,99.23674130439758"level","n_packets","time_elapsed"
1,10,100.18228507041931"level","n_packets","time_elapsed"
1,10,100.08251214027405"level","n_packets","time_elapsed"
2,100,102.18349242210388"level","n_packets","time_elapsed"
2,100,100.301584482193"level","n_packets","time_elapsed"
3,1000,100.24890685081482"level","n_packets","time_elapsed"
3,1000,100.2785108089447"level","n_packets","time_elapsed"
4,10000,100.20907497406006"level","n_packets","time_elapsed"
4,10000,100.33719110488892"level","n_packets","time_elapsed"
5,100000,176.80680990219116"level","n_packets","time_elapsed"
5,100000,159.73466563224792"level","n_packets","time_elapsed"
1,10,10.577178239822388"level","n_packets","time_elapsed"
1,10,6.393847942352295
